Deck,Deck_links,Count,Share,Score,Win_Percentage
Eelektross Zapdos ex,/decks/eelektross-zapdos-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,5 - 3 - 0,62.50%
Pidgeot Venusaur ex,/decks/pidgeot-venusaur-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,5 - 2 - 1,62.50%
Starmie ex Farfetch'd,/decks/starmie-ex-farfetchd-a1?game=POCKET&format=standard&set=A1,1,0.00%,5 - 3 - 0,62.50%
Hypno Articuno ex,/decks/hypno-articuno-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,6 - 4 - 0,60.00%
Pidgeot Kabutops,/decks/pidgeot-kabutops-a1?game=POCKET&format=standard&set=A1,1,0.00%,6 - 4 - 0,60.00%
Greninja Charizard ex,/decks/greninja-charizard-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 2 - 0,60.00%
Wigglytuff Frosmoth,/decks/wigglytuff-frosmoth-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 2 - 0,60.00%
Weepinbell Skiddo,/decks/weepinbell-skiddo-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 2 - 0,60.00%
Lapras ex Omastar,/decks/lapras-ex-p-a-omastar-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 2 - 0,60.00%
Dodrio Jolteon,/decks/dodrio-jolteon-a1?game=POCKET&format=standard&set=A1,1,0.00%,6 - 4 - 0,60.00%
Machoke Geodude,/decks/machoke-geodude-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 2 - 0,60.00%
Charmeleon Ivysaur,/decks/charmeleon-ivysaur-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 2 - 0,60.00%
Kabutops Grapploct,/decks/kabutops-grapploct-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 2 - 0,60.00%
Arbok Mienshao,/decks/arbok-mienshao-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 2 - 0,60.00%
Fearow Pidgeot,/decks/fearow-pidgeot-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 2 - 1,57.14%
Exeggutor ex Arcanine ex,/decks/exeggutor-ex-arcanine-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 3 - 0,57.14%
Exeggutor ex Muk,/decks/exeggutor-ex-muk-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 3 - 0,57.14%
Butterfree Pidgeot,/decks/butterfree-pidgeot-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 2 - 1,57.14%
Onix Hitmonlee,/decks/onix-hitmonlee-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 3 - 0,57.14%
Seaking Hypno,/decks/seaking-hypno-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 3 - 0,57.14%
Nidoking Articuno,/decks/nidoking-articuno-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 3 - 0,57.14%
Kingler Hypno,/decks/kingler-hypno-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 3 - 0,57.14%
Exeggutor ex Kingler,/decks/exeggutor-ex-kingler-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 3 - 0,57.14%
Wigglytuff ex Lapras ex,/decks/wigglytuff-ex-a1-lapras-ex-p-a?game=POCKET&format=standard&set=A1,1,0.00%,4 - 3 - 0,57.14%
Melmetal Pidgeot,/decks/melmetal-pidgeot-a1?game=POCKET&format=standard&set=A1,1,0.00%,5 - 4 - 0,55.56%
Poliwrath Marowak ex,/decks/poliwrath-marowak-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,5 - 4 - 0,55.56%
Starmie ex Golem,/decks/starmie-ex-golem-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 2 - 0,50.00%
Blastoise ex Gyarados,/decks/blastoise-ex-gyarados-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 1 - 0,50.00%
Clefable Slowbro,/decks/clefable-slowbro-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 4 - 0,50.00%
Pidgeot Articuno,/decks/pidgeot-articuno-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 1 - 0,50.00%
Nidoking Pidgeot,/decks/nidoking-pidgeot-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 2 - 0,50.00%
Arcanine ex Farfetch'd,/decks/arcanine-ex-farfetchd-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 1 - 0,50.00%
Seaking Starmie,/decks/seaking-starmie-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 2 - 0,50.00%
Exeggutor ex Caterpie,/decks/exeggutor-ex-caterpie-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 1 - 0,50.00%
Greninja Blastoise ex,/decks/greninja-blastoise-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 4 - 0,50.00%
Poliwrath Articuno ex,/decks/poliwrath-articuno-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 4 - 0,50.00%
Seaking Jolteon,/decks/seaking-jolteon-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 1 - 0,50.00%
Lapras Ditto,/decks/lapras-ditto-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 1 - 0,50.00%
Gardevoir Wigglytuff ex,/decks/gardevoir-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 3 - 0,50.00%
Moltres ex Wigglytuff ex,/decks/moltres-ex-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 3 - 0,50.00%
Gengar ex Mienshao,/decks/gengar-ex-mienshao-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 3 - 0,50.00%
Mewtwo ex Kirlia,/decks/mewtwo-ex-kirlia-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 1 - 0,50.00%
Nidorina Nidorino,/decks/nidorina-nidorino-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 2 - 0,50.00%
Lapras ex Alakazam,/decks/lapras-ex-p-a-alakazam-a1?game=POCKET&format=standard&set=A1,1,0.00%,5 - 5 - 0,50.00%
Dragonair Pikachu,/decks/dragonair-pikachu-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 1 - 0,50.00%
Gardevoir Hypno,/decks/gardevoir-hypno-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 2 - 0,50.00%
Starmie ex Gardevoir,/decks/starmie-ex-gardevoir-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 1 - 0,50.00%
Magneton Persian,/decks/magneton-persian-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 3 - 0,50.00%
Arcanine ex Exeggutor,/decks/arcanine-ex-exeggutor-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 2 - 0,50.00%
Hypno Jolteon,/decks/hypno-jolteon-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 2 - 0,50.00%
Dragonite Gyarados,/decks/dragonite-gyarados-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 4 - 0,50.00%
Sandslash Machamp,/decks/sandslash-machamp-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 1 - 0,50.00%
Ninetales Hypno,/decks/ninetales-hypno-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 2 - 0,50.00%
Vaporeon Blastoise,/decks/vaporeon-blastoise-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 2 - 0,50.00%
Marowak ex Mienshao,/decks/marowak-ex-mienshao-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 4 - 0,50.00%
Gardevoir Articuno ex,/decks/gardevoir-articuno-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 3 - 0,50.00%
Butterfree Exeggutor,/decks/butterfree-exeggutor-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 4 - 0,50.00%
Alakazam Golurk,/decks/alakazam-golurk-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 2 - 0,50.00%
Dragonite Primeape,/decks/dragonite-primeape-a1?game=POCKET&format=standard&set=A1,1,0.00%,5 - 5 - 0,50.00%
Gyarados Snorlax,/decks/gyarados-snorlax-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 2 - 1,50.00%
Dragonite Eelektrik,/decks/dragonite-eelektrik-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 1 - 0,50.00%
Melmetal Hypno,/decks/melmetal-hypno-a1?game=POCKET&format=standard&set=A1,1,0.00%,5 - 5 - 0,50.00%
Victreebel Venomoth,/decks/victreebel-venomoth-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 1 - 0,50.00%
Marowak ex Hitmonchan,/decks/marowak-ex-hitmonchan-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 3 - 0,50.00%
Butterfree Omastar,/decks/butterfree-omastar-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 2 - 0,50.00%
Mewtwo ex Mewtwo,/decks/mewtwo-ex-mewtwo-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 1 - 0,50.00%
Arbok Dodrio,/decks/arbok-dodrio-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 4 - 0,42.86%
Exeggutor ex Lickitung,/decks/exeggutor-ex-lickitung-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 4 - 0,42.86%
Pidgeot Poliwrath,/decks/pidgeot-poliwrath-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 4 - 0,42.86%
Wigglytuff ex Raichu,/decks/wigglytuff-ex-raichu-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 4 - 0,42.86%
Flareon Mienshao,/decks/flareon-mienshao-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 4 - 0,42.86%
Wigglytuff ex Exeggutor,/decks/wigglytuff-ex-exeggutor-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 4 - 0,42.86%
Starmie Articuno ex,/decks/starmie-articuno-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 4 - 0,42.86%
Frosmoth Dragonite,/decks/frosmoth-dragonite-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Pidgeot Zapdos ex,/decks/pidgeot-zapdos-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Wigglytuff ex Vaporeon,/decks/wigglytuff-ex-vaporeon-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Articuno ex Gyarados,/decks/articuno-ex-gyarados-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Moltres ex Heliolisk,/decks/moltres-ex-heliolisk-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Alakazam Butterfree,/decks/alakazam-butterfree-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Kabutops Psyduck,/decks/kabutops-psyduck-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Wigglytuff ex Mewtwo ex,/decks/wigglytuff-ex-mewtwo-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Greninja Cloyster,/decks/greninja-cloyster-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Wigglytuff ex Vileplume,/decks/wigglytuff-ex-vileplume-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 2 - 1,40.00%
Poliwhirl Frogadier,/decks/poliwhirl-frogadier-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Wigglytuff ex Starmie,/decks/wigglytuff-ex-starmie-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Wartortle Seel,/decks/wartortle-seel-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Ninetales Flareon,/decks/ninetales-flareon-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Machamp ex Weezing,/decks/machamp-ex-weezing-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Weezing Articuno,/decks/weezing-articuno-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Arbok Golbat,/decks/arbok-golbat-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Jolteon Jigglypuff,/decks/jolteon-a1-jigglypuff-p-a?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Jolteon Zapdos ex,/decks/jolteon-zapdos-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Ivysaur Haunter,/decks/ivysaur-haunter-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Golbat Kabutops,/decks/golbat-kabutops-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Mewtwo ex Poliwrath,/decks/mewtwo-ex-poliwrath-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Machoke Meowth,/decks/machoke-meowth-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Golduck Frosmoth,/decks/golduck-frosmoth-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Dragonair Wartortle,/decks/dragonair-wartortle-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 2 - 1,40.00%
Dugtrio Weezing,/decks/dugtrio-weezing-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Pidgeot Rapidash,/decks/pidgeot-rapidash-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Lapras ex Wigglytuff ex,/decks/lapras-ex-p-a-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Machamp Golbat,/decks/machamp-golbat-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Frogadier Poliwhirl,/decks/frogadier-poliwhirl-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 0,40.00%
Grapploct Golbat,/decks/grapploct-golbat-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 5 - 0,37.50%
Mienshao Melmetal,/decks/mienshao-melmetal-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 5 - 0,37.50%
Alakazam Dragonite,/decks/alakazam-dragonite-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 3 - 2,37.50%
Moltres ex Hypno,/decks/moltres-ex-hypno-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 4 - 1,37.50%
Victreebel Pidgeot,/decks/victreebel-pidgeot-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 5 - 0,37.50%
Blastoise ex Seadra,/decks/blastoise-ex-seadra-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Wigglytuff ex Victreebel,/decks/wigglytuff-ex-victreebel-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 4 - 0,33.33%
Dragonite Cloyster,/decks/dragonite-cloyster-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 4 - 0,33.33%
Exeggutor ex Weezing,/decks/exeggutor-ex-weezing-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Gengar ex Zapdos ex,/decks/gengar-ex-zapdos-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 4 - 0,33.33%
Hypno Frosmoth,/decks/hypno-frosmoth-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Primeape Sandslash,/decks/primeape-sandslash-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 4 - 0,33.33%
Dodrio Onix,/decks/dodrio-onix-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 4 - 0,33.33%
Greninja Moltres ex,/decks/greninja-moltres-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 4 - 0,33.33%
Blastoise Golduck,/decks/blastoise-golduck-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 4 - 0,33.33%
Vaporeon Frosmoth,/decks/vaporeon-frosmoth-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Pidgeot Nidoking,/decks/pidgeot-nidoking-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Alakazam Muk,/decks/alakazam-muk-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Butterfree Wigglytuff ex,/decks/butterfree-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Jolteon Kabutops,/decks/jolteon-kabutops-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Pidgeot Victreebel,/decks/pidgeot-victreebel-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 4 - 0,33.33%
Wigglytuff ex Alakazam,/decks/wigglytuff-ex-alakazam-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 4 - 0,33.33%
Articuno ex Zapdos ex,/decks/articuno-ex-zapdos-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,3 - 6 - 0,33.33%
Magneton Jolteon,/decks/magneton-jolteon-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 4 - 0,33.33%
Golduck Lapras ex,/decks/golduck-a1-lapras-ex-p-a?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Persian Articuno ex,/decks/persian-articuno-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Poliwrath Seaking,/decks/poliwrath-seaking-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Bisharp Greninja,/decks/bisharp-greninja-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Blastoise Starmie,/decks/blastoise-starmie-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Pidgeot Jolteon,/decks/pidgeot-jolteon-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Charizard ex Cinccino,/decks/charizard-ex-cinccino-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 1,33.33%
Dragonite Raticate,/decks/dragonite-raticate-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Cinccino Persian,/decks/cinccino-persian-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 4 - 0,33.33%
Starmie ex Raticate,/decks/starmie-ex-raticate-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 4 - 0,33.33%
Beedrill Caterpie,/decks/beedrill-caterpie-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Lilligant Venusaur,/decks/lilligant-venusaur-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Golem Kangaskhan,/decks/golem-kangaskhan-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Frosmoth Hypno,/decks/frosmoth-hypno-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Slowbro Clefable,/decks/slowbro-clefable-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 1,33.33%
Wigglytuff Tentacruel,/decks/wigglytuff-tentacruel-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Greninja Seadra,/decks/greninja-seadra-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Venusaur ex Vileplume,/decks/venusaur-ex-vileplume-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Venusaur ex Farfetch'd,/decks/venusaur-ex-farfetchd-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Metapod Ivysaur,/decks/metapod-ivysaur-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Arbok Nidoqueen,/decks/arbok-nidoqueen-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Wigglytuff ex Beedrill,/decks/wigglytuff-ex-beedrill-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Centiskorch Moltres,/decks/centiskorch-moltres-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Alakazam Vaporeon,/decks/alakazam-vaporeon-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 3 - 1,33.33%
Omastar Lapras ex,/decks/omastar-a1-lapras-ex-p-a?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Zebstrika Zapdos ex,/decks/zebstrika-zapdos-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Exeggutor ex Fearow,/decks/exeggutor-ex-fearow-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Machoke Mankey,/decks/machoke-mankey-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Graveler Omanyte,/decks/graveler-omanyte-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Charizard ex Weezing,/decks/charizard-ex-weezing-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Omastar Tentacruel,/decks/omastar-tentacruel-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Mewtwo ex Machamp ex,/decks/mewtwo-ex-machamp-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 4 - 0,33.33%
Alakazam Articuno ex,/decks/alakazam-articuno-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Pidgeotto Nidorina,/decks/pidgeotto-nidorina-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Poliwhirl Omanyte,/decks/poliwhirl-omanyte-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 2 - 0,33.33%
Arbok Mewtwo ex,/decks/arbok-mewtwo-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 5 - 0,28.57%
Exeggutor ex Meowth,/decks/exeggutor-ex-meowth-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 5 - 0,28.57%
Exeggutor ex Golem,/decks/exeggutor-ex-golem-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 5 - 0,28.57%
Fearow Golurk,/decks/fearow-golurk-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 5 - 0,28.57%
Starmie ex Weezing,/decks/starmie-ex-weezing-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 5 - 0,28.57%
Wigglytuff ex Meowth,/decks/wigglytuff-ex-meowth-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 5 - 0,28.57%
Graveler Kabuto,/decks/graveler-kabuto-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Victreebel Arbok,/decks/victreebel-arbok-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 6 - 0,25.00%
Marowak ex Farfetch'd,/decks/marowak-ex-farfetchd-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Charizard ex Flareon,/decks/charizard-ex-flareon-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Greninja Ditto,/decks/greninja-ditto-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Kingler Jigglypuff,/decks/kingler-a1-jigglypuff-p-a?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Charizard ex Raticate,/decks/charizard-ex-raticate-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 6 - 0,25.00%
Blastoise ex Raticate,/decks/blastoise-ex-raticate-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Rapidash Magmar,/decks/rapidash-magmar-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Kingler Frosmoth,/decks/kingler-frosmoth-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Melmetal Bisharp,/decks/melmetal-bisharp-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Electrode Raichu,/decks/electrode-raichu-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Blastoise ex Poliwrath,/decks/blastoise-ex-poliwrath-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Arcanine ex Charizard,/decks/arcanine-ex-charizard-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Blastoise ex Kingler,/decks/blastoise-ex-kingler-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Beedrill Victreebel,/decks/beedrill-victreebel-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Seaking Gyarados,/decks/seaking-gyarados-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Dugtrio Persian,/decks/dugtrio-persian-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Centiskorch Moltres ex,/decks/centiskorch-moltres-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Charizard ex Magmar,/decks/charizard-ex-magmar-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Pidgeot Marowak ex,/decks/pidgeot-marowak-ex-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Arbok Heliolisk,/decks/arbok-heliolisk-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Articuno ex Cloyster,/decks/articuno-ex-cloyster-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Metapod Weepinbell,/decks/metapod-weepinbell-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Melmetal Persian,/decks/melmetal-persian-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Persian Dragonite,/decks/persian-dragonite-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Dodrio Melmetal,/decks/dodrio-melmetal-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Lapras ex Gyarados,/decks/lapras-ex-p-a-gyarados-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Articuno ex Mienshao,/decks/articuno-ex-mienshao-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Cloyster Omastar,/decks/cloyster-omastar-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Ninetales Meowth,/decks/ninetales-meowth-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Articuno ex Psyduck,/decks/articuno-ex-psyduck-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Pidgeot Primeape,/decks/pidgeot-primeape-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 3 - 0,25.00%
Hypno Eelektross,/decks/hypno-eelektross-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 4 - 4,20.00%
