,Deck,Count,Share,Score,Win_Percentage,Deck_links
562,Venusaur ex Dusknoir,3,0.01%,2 - 7 - 0,22.22%,/decks/venusaur-ex-a1-dusknoir-a2?game=POCKET&format=standard&set=A2
563,Darkrai ex Nidoking,3,0.01%,3 - 11 - 0,21.43%,/decks/darkrai-ex-a2-nidoking-a1?game=POCKET&format=standard&set=A2
564,Darkrai ex Pidgeot,3,0.01%,3 - 11 - 0,21.43%,/decks/darkrai-ex-a2-pidgeot-a1?game=POCKET&format=standard&set=A2
565,Machamp ex Gallade ex,3,0.01%,2 - 8 - 0,20.00%,/decks/machamp-ex-a1-gallade-ex-a2?game=POCKET&format=standard&set=A2
566,Pidgeot Sandslash,3,0.01%,2 - 8 - 0,20.00%,/decks/pidgeot-sandslash-a1?game=POCKET&format=standard&set=A2
567,Gyarados ex Kingler,3,0.01%,2 - 8 - 0,20.00%,/decks/gyarados-ex-a1a-kingler-a1?game=POCKET&format=standard&set=A2
568,Aerodactyl ex Golem,3,0.01%,2 - 8 - 0,20.00%,/decks/aerodactyl-ex-golem-a1a?game=POCKET&format=standard&set=A2
569,Pidgeot ex Farfetch'd,3,0.01%,2 - 9 - 0,18.18%,/decks/pidgeot-ex-a1a-farfetchd-a1?game=POCKET&format=standard&set=A2
570,Dialga ex Tauros,3,0.01%,2 - 9 - 0,18.18%,/decks/dialga-ex-a2-tauros-a1a?game=POCKET&format=standard&set=A2
571,Articuno ex Lapras ex,3,0.01%,1 - 5 - 0,16.67%,/decks/articuno-ex-a1-lapras-ex-p-a?game=POCKET&format=standard&set=A2
572,Dragonite Palkia ex,3,0.01%,1 - 9 - 0,10.00%,/decks/dragonite-a1-palkia-ex-a2?game=POCKET&format=standard&set=A2
573,Electivire Magneton,3,0.01%,1 - 9 - 0,10.00%,/decks/electivire-a2-magneton-a1?game=POCKET&format=standard&set=A2
574,Mew ex Weavile ex,3,0.01%,0 - 4 - 0,0.00%,/decks/mew-ex-a1a-weavile-ex-a2?game=POCKET&format=standard&set=A2
575,Gengar ex Hypno,3,0.01%,0 - 4 - 0,0.00%,/decks/gengar-ex-hypno-a1?game=POCKET&format=standard&set=A2
576,Gengar ex Giratina,3,0.01%,0 - 6 - 0,0.00%,/decks/gengar-ex-a1-giratina-a2?game=POCKET&format=standard&set=A2
577,Scolipede,3,0.01%,0 - 3 - 0,0.00%,/decks/scolipede-a1a?game=POCKET&format=standard&set=A2
578,Victreebel Celebi ex,3,0.01%,0 - 8 - 0,0.00%,/decks/victreebel-a1-celebi-ex-a1a?game=POCKET&format=standard&set=A2
579,Muk Weezing,3,0.01%,0 - 8 - 0,0.00%,/decks/muk-weezing-a1?game=POCKET&format=standard&set=A2
580,Mew ex Tauros,2,0.00%,6 - 3 - 0,66.67%,/decks/mew-ex-tauros-a1a?game=POCKET&format=standard&set=A2
581,Zapdos ex Greninja,2,0.00%,10 - 5 - 0,66.67%,/decks/zapdos-ex-greninja-a1?game=POCKET&format=standard&set=A2
582,Yanmega ex Luxray,2,0.00%,9 - 5 - 0,64.29%,/decks/yanmega-ex-luxray-a2?game=POCKET&format=standard&set=A2
583,Darkrai ex Butterfree,2,0.00%,5 - 3 - 0,62.50%,/decks/darkrai-ex-a2-butterfree-a1?game=POCKET&format=standard&set=A2
584,Kingler Articuno ex,2,0.00%,10 - 6 - 0,62.50%,/decks/kingler-articuno-ex-a1?game=POCKET&format=standard&set=A2
585,Weavile ex Magnezone,2,0.00%,8 - 5 - 0,61.54%,/decks/weavile-ex-magnezone-a2?game=POCKET&format=standard&set=A2
586,Garchomp Hitmonlee,2,0.00%,6 - 4 - 0,60.00%,/decks/garchomp-a2-hitmonlee-a1?game=POCKET&format=standard&set=A2
587,Articuno ex Bibarel,2,0.00%,6 - 4 - 0,60.00%,/decks/articuno-ex-a1-bibarel-a2?game=POCKET&format=standard&set=A2
588,Primeape Aerodactyl ex,2,0.00%,7 - 5 - 0,58.33%,/decks/primeape-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A2
589,Infernape ex Meowth,2,0.00%,8 - 6 - 0,57.14%,/decks/infernape-ex-a2-meowth-a1?game=POCKET&format=standard&set=A2
590,Starmie ex Blastoise ex,2,0.00%,8 - 6 - 0,57.14%,/decks/starmie-ex-blastoise-ex-a1?game=POCKET&format=standard&set=A2
591,Infernape ex Magmortar,2,0.00%,4 - 3 - 0,57.14%,/decks/infernape-ex-magmortar-a2?game=POCKET&format=standard&set=A2
592,Charizard ex Salazzle,2,0.00%,8 - 6 - 0,57.14%,/decks/charizard-ex-a1-salazzle-a1a?game=POCKET&format=standard&set=A2
593,Yanmega ex Articuno ex,2,0.00%,4 - 3 - 0,57.14%,/decks/yanmega-ex-a2-articuno-ex-a1?game=POCKET&format=standard&set=A2
594,Golem Magnezone,2,0.00%,4 - 3 - 0,57.14%,/decks/golem-a1a-magnezone-a2?game=POCKET&format=standard&set=A2
595,Raichu Magneton,2,0.00%,9 - 7 - 0,56.25%,/decks/raichu-magneton-a1?game=POCKET&format=standard&set=A2
596,Charizard ex Ninetales,2,0.00%,9 - 7 - 0,56.25%,/decks/charizard-ex-ninetales-a1?game=POCKET&format=standard&set=A2
597,Pachirisu ex Pikachu ex,2,0.00%,6 - 5 - 0,54.55%,/decks/pachirisu-ex-a2-pikachu-ex-a1?game=POCKET&format=standard&set=A2
598,Electivire Galvantula,2,0.00%,6 - 5 - 0,54.55%,/decks/electivire-a2-galvantula-a1a?game=POCKET&format=standard&set=A2
599,Rampardos Bidoof,2,0.00%,6 - 5 - 0,54.55%,/decks/rampardos-bidoof-a2?game=POCKET&format=standard&set=A2
600,Mismagius ex Greninja,2,0.00%,6 - 5 - 0,54.55%,/decks/mismagius-ex-a2-greninja-a1?game=POCKET&format=standard&set=A2
601,Greninja Rapidash,2,0.00%,6 - 5 - 0,54.55%,/decks/greninja-a1-rapidash-a1a?game=POCKET&format=standard&set=A2
602,Palkia ex Garchomp,2,0.00%,7 - 6 - 0,53.85%,/decks/palkia-ex-garchomp-a2?game=POCKET&format=standard&set=A2
603,Magnezone Onix,2,0.00%,6 - 6 - 0,50.00%,/decks/magnezone-a2-onix-a1?game=POCKET&format=standard&set=A2
604,Zapdos ex Electivire,2,0.00%,6 - 6 - 0,50.00%,/decks/zapdos-ex-a1-electivire-a2?game=POCKET&format=standard&set=A2
605,Yanmega ex Exeggutor,2,0.00%,6 - 6 - 0,50.00%,/decks/yanmega-ex-a2-exeggutor-a1a?game=POCKET&format=standard&set=A2
606,Aerodactyl ex Leafeon,2,0.00%,5 - 5 - 0,50.00%,/decks/aerodactyl-ex-a1a-leafeon-a2?game=POCKET&format=standard&set=A2
607,Magnezone Volcarona,2,0.00%,4 - 4 - 0,50.00%,/decks/magnezone-a2-volcarona-a1a?game=POCKET&format=standard&set=A2
608,Arbok Honchkrow,2,0.00%,5 - 5 - 0,50.00%,/decks/arbok-a1-honchkrow-a2?game=POCKET&format=standard&set=A2
609,Kingler Abomasnow,2,0.00%,3 - 3 - 0,50.00%,/decks/kingler-a1-abomasnow-a2?game=POCKET&format=standard&set=A2
610,Gallade ex Lopunny,2,0.00%,6 - 6 - 0,50.00%,/decks/gallade-ex-lopunny-a2?game=POCKET&format=standard&set=A2
611,Golem Rampardos,2,0.00%,2 - 2 - 0,50.00%,/decks/golem-a1a-rampardos-a2?game=POCKET&format=standard&set=A2
612,Magnezone Chatot,2,0.00%,6 - 6 - 0,50.00%,/decks/magnezone-a2-chatot-a1a?game=POCKET&format=standard&set=A2
613,Exeggutor ex Vespiquen,2,0.00%,4 - 4 - 0,50.00%,/decks/exeggutor-ex-a1-vespiquen-a2?game=POCKET&format=standard&set=A2
614,Moltres ex Arcanine ex,2,0.00%,8 - 8 - 0,50.00%,/decks/moltres-ex-arcanine-ex-a1?game=POCKET&format=standard&set=A2
615,Greninja Tentacruel,2,0.00%,9 - 9 - 0,50.00%,/decks/greninja-tentacruel-a1?game=POCKET&format=standard&set=A2
616,Kabutops Mew ex,2,0.00%,7 - 6 - 1,50.00%,/decks/kabutops-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
617,Palkia ex Lumineon,2,0.00%,4 - 4 - 0,50.00%,/decks/palkia-ex-a2-lumineon-a1a?game=POCKET&format=standard&set=A2
618,Togekiss Beheeyem,2,0.00%,4 - 4 - 0,50.00%,/decks/togekiss-a2-beheeyem-a1a?game=POCKET&format=standard&set=A2
619,Pidgeot ex,2,0.00%,5 - 5 - 0,50.00%,/decks/pidgeot-ex-a1a?game=POCKET&format=standard&set=A2
620,Bastiodon,2,0.00%,2 - 2 - 0,50.00%,/decks/bastiodon-a2?game=POCKET&format=standard&set=A2
621,Mismagius ex Bibarel,2,0.00%,6 - 7 - 0,46.15%,/decks/mismagius-ex-bibarel-a2?game=POCKET&format=standard&set=A2
622,Omastar Regice,2,0.00%,6 - 7 - 0,46.15%,/decks/omastar-a1-regice-a2?game=POCKET&format=standard&set=A2
623,Marowak ex Hitmonlee,2,0.00%,6 - 7 - 0,46.15%,/decks/marowak-ex-hitmonlee-a1?game=POCKET&format=standard&set=A2
624,Starmie ex Glaceon,2,0.00%,5 - 6 - 0,45.45%,/decks/starmie-ex-a1-glaceon-a2?game=POCKET&format=standard&set=A2
625,Mew ex Rampardos,2,0.00%,5 - 6 - 0,45.45%,/decks/mew-ex-a1a-rampardos-a2?game=POCKET&format=standard&set=A2
626,Starmie ex Gyarados,2,0.00%,5 - 6 - 0,45.45%,/decks/starmie-ex-gyarados-a1?game=POCKET&format=standard&set=A2
627,Exeggutor Mew ex,2,0.00%,5 - 5 - 1,45.45%,/decks/exeggutor-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
628,Starmie ex Seaking,2,0.00%,4 - 5 - 0,44.44%,/decks/starmie-ex-seaking-a1?game=POCKET&format=standard&set=A2
629,Greninja Yanmega ex,2,0.00%,4 - 4 - 1,44.44%,/decks/greninja-a1-yanmega-ex-a2?game=POCKET&format=standard&set=A2
630,Raichu Magneton,2,0.00%,4 - 5 - 0,44.44%,/decks/raichu-a1a-magneton-a1?game=POCKET&format=standard&set=A2
631,Zapdos ex Pikachu ex,2,0.00%,4 - 4 - 1,44.44%,/decks/zapdos-ex-pikachu-ex-a1?game=POCKET&format=standard&set=A2
632,Jolteon Electivire,2,0.00%,4 - 5 - 0,44.44%,/decks/jolteon-a1-electivire-a2?game=POCKET&format=standard&set=A2
633,Gyarados Mew ex,2,0.00%,3 - 4 - 0,42.86%,/decks/gyarados-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
634,Gengar ex Florges,2,0.00%,3 - 4 - 0,42.86%,/decks/gengar-ex-a1-florges-a1a?game=POCKET&format=standard&set=A2
635,Dragonite Zebstrika,2,0.00%,3 - 4 - 0,42.86%,/decks/dragonite-zebstrika-a1?game=POCKET&format=standard&set=A2
636,Mismagius ex Wigglytuff ex,2,0.00%,3 - 4 - 0,42.86%,/decks/mismagius-ex-a2-wigglytuff-ex-a1?game=POCKET&format=standard&set=A2
637,Articuno ex Druddigon,2,0.00%,6 - 8 - 0,42.86%,/decks/articuno-ex-a1-druddigon-a1a?game=POCKET&format=standard&set=A2
638,Pidgeot ex Greninja,2,0.00%,5 - 7 - 0,41.67%,/decks/pidgeot-ex-a1a-greninja-a1?game=POCKET&format=standard&set=A2
639,Venusaur ex Weezing,2,0.00%,6 - 8 - 1,40.00%,/decks/venusaur-ex-weezing-a1?game=POCKET&format=standard&set=A2
640,Pachirisu ex Mew ex,2,0.00%,4 - 6 - 0,40.00%,/decks/pachirisu-ex-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
641,Greninja Lopunny,2,0.00%,4 - 6 - 0,40.00%,/decks/greninja-a1-lopunny-a2?game=POCKET&format=standard&set=A2
642,Mismagius ex Gardevoir,2,0.00%,2 - 3 - 0,40.00%,/decks/mismagius-ex-a2-gardevoir-a1?game=POCKET&format=standard&set=A2
643,Starmie ex Omastar,2,0.00%,4 - 6 - 0,40.00%,/decks/starmie-ex-omastar-a1?game=POCKET&format=standard&set=A2
644,Yanmega ex Garchomp,2,0.00%,4 - 6 - 0,40.00%,/decks/yanmega-ex-garchomp-a2?game=POCKET&format=standard&set=A2
645,Wormadam Bisharp,2,0.00%,2 - 3 - 0,40.00%,/decks/wormadam-a2-bisharp-a1?game=POCKET&format=standard&set=A2
646,Moltres ex Volcarona,2,0.00%,4 - 6 - 0,40.00%,/decks/moltres-ex-a1-volcarona-a1a?game=POCKET&format=standard&set=A2
647,Golem Stunky,2,0.00%,5 - 8 - 0,38.46%,/decks/golem-a1a-stunky-a2?game=POCKET&format=standard&set=A2
648,Garchomp Psyduck,2,0.00%,5 - 8 - 0,38.46%,/decks/garchomp-a2-psyduck-a1?game=POCKET&format=standard&set=A2
649,Palkia ex Psyduck,2,0.00%,3 - 5 - 0,37.50%,/decks/palkia-ex-a2-psyduck-a1?game=POCKET&format=standard&set=A2
650,Magnezone Ditto,2,0.00%,3 - 5 - 0,37.50%,/decks/magnezone-a2-ditto-a1?game=POCKET&format=standard&set=A2
651,Magnezone Lopunny,2,0.00%,3 - 5 - 0,37.50%,/decks/magnezone-lopunny-a2?game=POCKET&format=standard&set=A2
652,Venusaur ex Venusaur,2,0.00%,3 - 5 - 0,37.50%,/decks/venusaur-ex-venusaur-a1?game=POCKET&format=standard&set=A2
653,Florges Beheeyem,2,0.00%,3 - 5 - 0,37.50%,/decks/florges-beheeyem-a1a?game=POCKET&format=standard&set=A2
654,Exeggutor ex Golem,2,0.00%,3 - 4 - 1,37.50%,/decks/exeggutor-ex-golem-a1?game=POCKET&format=standard&set=A2
655,Greninja Skarmory,2,0.00%,3 - 5 - 0,37.50%,/decks/greninja-a1-skarmory-a2?game=POCKET&format=standard&set=A2
656,Machamp ex Aerodactyl ex,2,0.00%,3 - 5 - 0,37.50%,/decks/machamp-ex-a1-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A2
657,Empoleon Articuno ex,2,0.00%,3 - 5 - 0,37.50%,/decks/empoleon-a2-articuno-ex-a1?game=POCKET&format=standard&set=A2
658,Gyarados ex Chatot,2,0.00%,4 - 7 - 0,36.36%,/decks/gyarados-ex-chatot-a1a?game=POCKET&format=standard&set=A2
659,Tentacruel Hypno,2,0.00%,2 - 4 - 0,33.33%,/decks/tentacruel-hypno-a1?game=POCKET&format=standard&set=A2
660,Victreebel Leafeon,2,0.00%,4 - 8 - 0,33.33%,/decks/victreebel-a1-leafeon-a2?game=POCKET&format=standard&set=A2
661,Gyarados ex Spiritomb,2,0.00%,3 - 6 - 0,33.33%,/decks/gyarados-ex-a1a-spiritomb-a2?game=POCKET&format=standard&set=A2
662,Aerodactyl ex Greninja,2,0.00%,1 - 2 - 0,33.33%,/decks/aerodactyl-ex-a1a-greninja-a1?game=POCKET&format=standard&set=A2
663,Mismagius ex Uxie,2,0.00%,2 - 4 - 0,33.33%,/decks/mismagius-ex-uxie-a2?game=POCKET&format=standard&set=A2
664,Gengar ex Gardevoir,2,0.00%,4 - 8 - 0,33.33%,/decks/gengar-ex-gardevoir-a1?game=POCKET&format=standard&set=A2
665,Marowak ex,2,0.00%,2 - 4 - 0,33.33%,/decks/marowak-ex-a1?game=POCKET&format=standard&set=A2
666,Greninja Gyarados,2,0.00%,2 - 3 - 1,33.33%,/decks/greninja-gyarados-a1?game=POCKET&format=standard&set=A2
667,Magnezone Leafeon,2,0.00%,2 - 4 - 0,33.33%,/decks/magnezone-leafeon-a2?game=POCKET&format=standard&set=A2
668,Wigglytuff ex Mismagius ex,2,0.00%,2 - 4 - 0,33.33%,/decks/wigglytuff-ex-a1-mismagius-ex-a2?game=POCKET&format=standard&set=A2
669,Vespiquen Leafeon,2,0.00%,3 - 6 - 0,33.33%,/decks/vespiquen-leafeon-a2?game=POCKET&format=standard&set=A2
670,Greninja Wartortle,2,0.00%,1 - 2 - 0,33.33%,/decks/greninja-wartortle-a1?game=POCKET&format=standard&set=A2
671,Garchomp Manaphy,2,0.00%,5 - 10 - 0,33.33%,/decks/garchomp-manaphy-a2?game=POCKET&format=standard&set=A2
672,Omastar Rampardos,2,0.00%,2 - 4 - 0,33.33%,/decks/omastar-a1-rampardos-a2?game=POCKET&format=standard&set=A2
673,Wigglytuff ex Garchomp,2,0.00%,2 - 4 - 0,33.33%,/decks/wigglytuff-ex-a1-garchomp-a2?game=POCKET&format=standard&set=A2
674,Darkrai ex Bidoof,2,0.00%,2 - 4 - 0,33.33%,/decks/darkrai-ex-bidoof-a2?game=POCKET&format=standard&set=A2
675,Magnezone Flareon,2,0.00%,2 - 4 - 0,33.33%,/decks/magnezone-a2-flareon-a1?game=POCKET&format=standard&set=A2
676,Mew ex Mewtwo ex,2,0.00%,3 - 6 - 0,33.33%,/decks/mew-ex-a1a-mewtwo-ex-a1?game=POCKET&format=standard&set=A2
677,Bastiodon Chatot,2,0.00%,3 - 6 - 0,33.33%,/decks/bastiodon-a2-chatot-a1a?game=POCKET&format=standard&set=A2
678,Wormadam Bastiodon,2,0.00%,1 - 2 - 0,33.33%,/decks/wormadam-bastiodon-a2?game=POCKET&format=standard&set=A2
679,Mamoswine Manaphy,2,0.00%,3 - 6 - 0,33.33%,/decks/mamoswine-manaphy-a2?game=POCKET&format=standard&set=A2
680,Victreebel Exeggutor,2,0.00%,3 - 6 - 0,33.33%,/decks/victreebel-exeggutor-a1?game=POCKET&format=standard&set=A2
681,Golem Lopunny,2,0.00%,2 - 4 - 0,33.33%,/decks/golem-a1a-lopunny-a2?game=POCKET&format=standard&set=A2
682,Yanmega ex Druddigon,2,0.00%,2 - 4 - 0,33.33%,/decks/yanmega-ex-a2-druddigon-a1a?game=POCKET&format=standard&set=A2
683,Weavile ex Muk,2,0.00%,3 - 6 - 0,33.33%,/decks/weavile-ex-a2-muk-a1?game=POCKET&format=standard&set=A2
684,Bibarel Marshadow,2,0.00%,4 - 9 - 0,30.77%,/decks/bibarel-a2-marshadow-a1a?game=POCKET&format=standard&set=A2
685,Magnezone Electrode,2,0.00%,4 - 9 - 0,30.77%,/decks/magnezone-electrode-a2?game=POCKET&format=standard&set=A2
686,Gyarados Vaporeon,2,0.00%,3 - 7 - 0,30.00%,/decks/gyarados-a1-vaporeon-a1a?game=POCKET&format=standard&set=A2
687,Butterfree Exeggutor,2,0.00%,3 - 7 - 0,30.00%,/decks/butterfree-a1-exeggutor-a1a?game=POCKET&format=standard&set=A2
688,Mew ex Melmetal,2,0.00%,3 - 7 - 0,30.00%,/decks/mew-ex-a1a-melmetal-a1?game=POCKET&format=standard&set=A2
689,Magnezone Celebi ex,2,0.00%,2 - 5 - 0,28.57%,/decks/magnezone-a2-celebi-ex-a1a?game=POCKET&format=standard&set=A2
690,Togekiss Spiritomb,2,0.00%,2 - 5 - 0,28.57%,/decks/togekiss-spiritomb-a2?game=POCKET&format=standard&set=A2
691,Venusaur ex Lopunny,2,0.00%,2 - 5 - 0,28.57%,/decks/venusaur-ex-a1-lopunny-a2?game=POCKET&format=standard&set=A2
692,Arcanine ex Rapidash,2,0.00%,2 - 5 - 0,28.57%,/decks/arcanine-ex-rapidash-a1?game=POCKET&format=standard&set=A2
693,Starmie ex Golduck,2,0.00%,2 - 5 - 0,28.57%,/decks/starmie-ex-golduck-a1?game=POCKET&format=standard&set=A2
694,Magnezone Uxie,2,0.00%,2 - 5 - 0,28.57%,/decks/magnezone-uxie-a2?game=POCKET&format=standard&set=A2
695,Darkrai ex Magneton,2,0.00%,3 - 8 - 0,27.27%,/decks/darkrai-ex-a2-magneton-a1?game=POCKET&format=standard&set=A2
696,Mismagius ex Hypno,2,0.00%,2 - 6 - 0,25.00%,/decks/mismagius-ex-a2-hypno-a1?game=POCKET&format=standard&set=A2
697,Greninja Magnezone,2,0.00%,1 - 3 - 0,25.00%,/decks/greninja-a1-magnezone-a2?game=POCKET&format=standard&set=A2
698,Serperior Venusaur ex,2,0.00%,2 - 6 - 0,25.00%,/decks/serperior-a1a-venusaur-ex-a1?game=POCKET&format=standard&set=A2
699,Palkia ex Lumineon,2,0.00%,2 - 6 - 0,25.00%,/decks/palkia-ex-lumineon-a2?game=POCKET&format=standard&set=A2
700,Nidoqueen Nidoking,2,0.00%,2 - 6 - 0,25.00%,/decks/nidoqueen-nidoking-a1?game=POCKET&format=standard&set=A2
701,Gardevoir Florges,2,0.00%,2 - 6 - 0,25.00%,/decks/gardevoir-a1-florges-a1a?game=POCKET&format=standard&set=A2
702,Venusaur ex Regirock,2,0.00%,1 - 3 - 0,25.00%,/decks/venusaur-ex-a1-regirock-a2?game=POCKET&format=standard&set=A2
703,Jolteon Magneton,2,0.00%,1 - 3 - 0,25.00%,/decks/jolteon-magneton-a1?game=POCKET&format=standard&set=A2
704,Wigglytuff ex Lickilicky ex,2,0.00%,2 - 6 - 0,25.00%,/decks/wigglytuff-ex-a1-lickilicky-ex-a2?game=POCKET&format=standard&set=A2
705,Butterfree Tangrowth,2,0.00%,1 - 3 - 0,25.00%,/decks/butterfree-a1-tangrowth-a2?game=POCKET&format=standard&set=A2
706,Magnezone Shaymin,2,0.00%,2 - 6 - 0,25.00%,/decks/magnezone-shaymin-a2?game=POCKET&format=standard&set=A2
707,Magnezone Rapidash,2,0.00%,1 - 3 - 0,25.00%,/decks/magnezone-a2-rapidash-a1a?game=POCKET&format=standard&set=A2
708,Poliwrath Druddigon,2,0.00%,1 - 3 - 0,25.00%,/decks/poliwrath-a1-druddigon-a1a?game=POCKET&format=standard&set=A2
709,Mamoswine Palkia ex,2,0.00%,2 - 6 - 0,25.00%,/decks/mamoswine-palkia-ex-a2?game=POCKET&format=standard&set=A2
710,Wigglytuff ex Florges,2,0.00%,1 - 3 - 0,25.00%,/decks/wigglytuff-ex-a1-florges-a1a?game=POCKET&format=standard&set=A2
711,Mismagius ex Azelf,2,0.00%,1 - 3 - 0,25.00%,/decks/mismagius-ex-azelf-a2?game=POCKET&format=standard&set=A2
712,Palkia ex Yanmega ex,2,0.00%,1 - 3 - 0,25.00%,/decks/palkia-ex-yanmega-ex-a2?game=POCKET&format=standard&set=A2
713,Dialga ex Staraptor,2,0.00%,1 - 3 - 0,25.00%,/decks/dialga-ex-staraptor-a2?game=POCKET&format=standard&set=A2
714,Pidgeot Arbok,2,0.00%,2 - 6 - 0,25.00%,/decks/pidgeot-arbok-a1?game=POCKET&format=standard&set=A2
715,Alakazam Mismagius ex,2,0.00%,2 - 6 - 0,25.00%,/decks/alakazam-a1-mismagius-ex-a2?game=POCKET&format=standard&set=A2
716,Infernape ex Yanmega ex,2,0.00%,2 - 7 - 0,22.22%,/decks/infernape-ex-yanmega-ex-a2?game=POCKET&format=standard&set=A2
717,Ninetales,2,0.00%,1 - 4 - 0,20.00%,/decks/ninetales-a1?game=POCKET&format=standard&set=A2
718,Bastiodon Druddigon,2,0.00%,1 - 4 - 0,20.00%,/decks/bastiodon-a2-druddigon-a1a?game=POCKET&format=standard&set=A2
719,Magcargo Magmortar,2,0.00%,1 - 4 - 0,20.00%,/decks/magcargo-magmortar-a2?game=POCKET&format=standard&set=A2
720,Palkia ex Staraptor,2,0.00%,1 - 4 - 0,20.00%,/decks/palkia-ex-staraptor-a2?game=POCKET&format=standard&set=A2
721,Hitmonlee Druddigon,2,0.00%,1 - 4 - 0,20.00%,/decks/hitmonlee-a1-druddigon-a1a?game=POCKET&format=standard&set=A2
722,Magnezone Primeape,2,0.00%,1 - 4 - 0,20.00%,/decks/magnezone-a2-primeape-a1?game=POCKET&format=standard&set=A2
723,Yanmega ex Vespiquen,2,0.00%,1 - 3 - 1,20.00%,/decks/yanmega-ex-vespiquen-a2?game=POCKET&format=standard&set=A2
724,Pidgeot ex Gyarados ex,2,0.00%,1 - 5 - 0,16.67%,/decks/pidgeot-ex-gyarados-ex-a1a?game=POCKET&format=standard&set=A2
725,Articuno ex Blastoise ex,2,0.00%,1 - 5 - 0,16.67%,/decks/articuno-ex-blastoise-ex-a1?game=POCKET&format=standard&set=A2
726,Dialga ex Dusknoir,2,0.00%,1 - 4 - 1,16.67%,/decks/dialga-ex-dusknoir-a2?game=POCKET&format=standard&set=A2
727,Yanmega ex Shaymin,2,0.00%,1 - 5 - 0,16.67%,/decks/yanmega-ex-shaymin-a2?game=POCKET&format=standard&set=A2
728,Hypno Aerodactyl,2,0.00%,1 - 5 - 0,16.67%,/decks/hypno-aerodactyl-a1?game=POCKET&format=standard&set=A2
729,Moltres ex Rapidash,2,0.00%,1 - 5 - 0,16.67%,/decks/moltres-ex-a1-rapidash-a1a?game=POCKET&format=standard&set=A2
730,Palkia ex Wigglytuff ex,2,0.00%,1 - 5 - 0,16.67%,/decks/palkia-ex-a2-wigglytuff-ex-a1?game=POCKET&format=standard&set=A2
731,Greninja Manaphy,2,0.00%,1 - 6 - 0,14.29%,/decks/greninja-a1-manaphy-a2?game=POCKET&format=standard&set=A2
732,Bibarel Skarmory,2,0.00%,1 - 6 - 0,14.29%,/decks/bibarel-skarmory-a2?game=POCKET&format=standard&set=A2
733,Magnezone Melmetal,2,0.00%,1 - 6 - 0,14.29%,/decks/magnezone-a2-melmetal-a1?game=POCKET&format=standard&set=A2
734,Dusknoir Regigigas,2,0.00%,1 - 6 - 0,14.29%,/decks/dusknoir-regigigas-a2?game=POCKET&format=standard&set=A2
735,Mesprit Giratina,2,0.00%,1 - 7 - 0,12.50%,/decks/mesprit-giratina-a2?game=POCKET&format=standard&set=A2
736,Mamoswine Vaporeon,2,0.00%,1 - 8 - 0,11.11%,/decks/mamoswine-a2-vaporeon-a1a?game=POCKET&format=standard&set=A2
737,Bastiodon Hypno,2,0.00%,0 - 2 - 0,0.00%,/decks/bastiodon-a2-hypno-a1?game=POCKET&format=standard&set=A2
738,Venusaur ex Caterpie,2,0.00%,0 - 5 - 0,0.00%,/decks/venusaur-ex-caterpie-a1?game=POCKET&format=standard&set=A2
739,Greninja Magcargo,2,0.00%,0 - 1 - 0,0.00%,/decks/greninja-a1-magcargo-a2?game=POCKET&format=standard&set=A2
740,Weavile ex Toxicroak,2,0.00%,0 - 4 - 0,0.00%,/decks/weavile-ex-toxicroak-a2?game=POCKET&format=standard&set=A2
741,Palkia ex Blastoise ex,2,0.00%,0 - 4 - 0,0.00%,/decks/palkia-ex-a2-blastoise-ex-a1?game=POCKET&format=standard&set=A2
742,Tentacruel Articuno ex,2,0.00%,0 - 4 - 0,0.00%,/decks/tentacruel-articuno-ex-a1?game=POCKET&format=standard&set=A2
743,Vaporeon Abomasnow,2,0.00%,0 - 3 - 0,0.00%,/decks/vaporeon-a1a-abomasnow-a2?game=POCKET&format=standard&set=A2
744,Starmie ex Dodrio,2,0.00%,0 - 6 - 0,0.00%,/decks/starmie-ex-dodrio-a1?game=POCKET&format=standard&set=A2
745,Uxie Azelf,2,0.00%,0 - 2 - 0,0.00%,/decks/uxie-azelf-a2?game=POCKET&format=standard&set=A2
746,Dialga ex Pidgeot,2,0.00%,0 - 3 - 0,0.00%,/decks/dialga-ex-a2-pidgeot-a1?game=POCKET&format=standard&set=A2
747,Arcanine ex Charizard ex,2,0.00%,0 - 3 - 0,0.00%,/decks/arcanine-ex-charizard-ex-a1?game=POCKET&format=standard&set=A2
748,Pidgeot ex Aerodactyl ex,2,0.00%,0 - 5 - 0,0.00%,/decks/pidgeot-ex-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A2
749,Roserade Butterfree,2,0.00%,0 - 2 - 0,0.00%,/decks/roserade-a2-butterfree-a1?game=POCKET&format=standard&set=A2
750,Persian Hypno,2,0.00%,0 - 5 - 0,0.00%,/decks/persian-hypno-a1?game=POCKET&format=standard&set=A2
751,Lickilicky ex Darkrai ex,2,0.00%,0 - 6 - 0,0.00%,/decks/lickilicky-ex-darkrai-ex-a2?game=POCKET&format=standard&set=A2
